Date,Platform,Post Title,Type (Short/Reel/Full Video),Views,Likes,Comments,Shares,Watch Time % or Avg View Duration,Notes
2026-08-20,YouTube,The Macaw,Short,,,,,,
2026-08-20,YouTube,The Macaw,Full Video,,,,,,
2026-08-20,YouTube,Woo Problem,Short,,,,,,
2026-08-20,YouTube,Woo Problem,Full Video,,,,,,
2026-08-20,YouTube,It’s Real,Short,,,,,,
2026-08-20,YouTube,It’s Real,Full Video,,,,,,
2026-08-20,YouTube,Brand New Day,Short,,,,,,
2026-08-20,YouTube,Brand New Day,Full Video,,,,,,
2026-08-20,YouTube,Dirty Dac,Short,,,,,,
2026-08-20,YouTube,Dirty Dac,Full Video,,,,,,
2026-08-20,YouTube,Signal In Signal Out,Short,,,,,,
2026-08-20,YouTube,Night Shift Halo,Short,,,,,,
2026-08-20,Instagram,The Macaw,Reel,,,,,,
2026-08-20,Instagram,Woo Problem,Reel,,,,,,
2026-08-20,Instagram,It’s Real,Reel,,,,,,
2026-08-20,Instagram,Brand New Day,Reel,,,,,,
2026-08-20,Instagram,Dirty Dac,Reel,,,,,,
2026-08-20,Instagram,Signal In Signal Out,Reel,,,,,,
2026-08-20,Instagram,Night Shift Halo,Reel,,,,,,
2026-08-20,Facebook,The Macaw,Reel,,,,,,
2026-08-20,Facebook,Woo Problem,Reel,,,,,,
2026-08-20,Facebook,It’s Real,Reel,,,,,,
2026-08-20,Facebook,Brand New Day,Reel,,,,,,
2026-08-20,Facebook,Dirty Dac,Reel,,,,,,
2026-08-20,Facebook,Signal In Signal Out,Reel,,,,,,
2026-08-20,Facebook,Night Shift Halo,Reel,,,,,,
